Macros,Netlist,HPWL
"[(131, 64), (53, 144), (85, 81), (78, 67), (144, 63), (136, 144), (119, 61), (125, 104), (54, 53), (61, 77), (79, 114), (127, 53), (121, 75), (141, 133), (139, 119), (103, 78), (107, 125), (85, 50), (147, 70), (139, 104), (93, 85), (69, 77), (147, 93), (63, 61), (98, 62), (95, 94), (127, 83), (55, 143)]","[(0, 16), (1, 11), (2, 20), (3, 19), (4, 15), (5, 24), (6, 13), (7, 12), (8, 25), (9, 26), (10, 22), (14, 27), (17, 23), (18, 21)]",10406.844118851128
"[(131, 64), (53, 144), (85, 81), (78, 67), (144, 63), (136, 144), (119, 61), (125, 104), (54, 53), (61, 77), (79, 114), (127, 53), (121, 75), (141, 133), (139, 119), (103, 78), (107, 125), (85, 50), (147, 70), (139, 104), (93, 85), (69, 77), (147, 93), (63, 61), (98, 62), (95, 94), (127, 83), (55, 143), (108, 118), (65, 98), (60, 120), (87, 130), (129, 96), (123, 74), (140, 58), (55, 134), (79, 148), (87, 60), (79, 62), (98, 85), (108, 131), (96, 70), (97, 95), (76, 135), (84, 139), (137, 132), (59, 127), (131, 71), (118, 143), (81, 70), (109, 98), (84, 131), (138, 121), (78, 137), (91, 148), (149, 57), (79, 54), (90, 101), (84, 58), (77, 122), (141, 90), (77, 133), (113, 100), (132, 108)]","[(0, 32), (1, 38), (2, 30), (3, 27), (4, 58), (5, 12), (6, 50), (7, 36), (8, 60), (9, 18), (10, 24), (11, 39), (13, 53), (14, 22), (15, 42), (16, 37), (17, 44), (19, 49), (20, 34), (21, 31), (23, 26), (25, 47), (28, 40), (29, 54), (33, 55), (35, 61), (41, 51), (43, 59), (45, 63), (46, 56), (48, 52), (57, 62)]",52409.148365486115
"[(131, 64), (53, 144), (85, 81), (78, 67), (144, 63), (136, 144), (119, 61), (125, 104), (54, 53), (61, 77), (79, 114), (127, 53), (121, 75), (141, 133), (139, 119), (103, 78), (107, 125), (85, 50), (147, 70), (139, 104), (93, 85), (69, 77), (147, 93), (63, 61), (98, 62), (95, 94), (127, 83), (55, 143), (108, 118), (65, 98), (60, 120), (87, 130), (129, 96), (123, 74), (140, 58), (55, 134), (79, 148), (87, 60), (79, 62), (98, 85), (108, 131), (96, 70), (97, 95), (76, 135), (84, 139), (137, 132), (59, 127), (131, 71), (118, 143), (81, 70)]","[(0, 46), (1, 29), (2, 31), (3, 42), (4, 11), (5, 49), (6, 15), (7, 28), (8, 16), (9, 39), (10, 27), (12, 18), (13, 26), (14, 48), (17, 36), (19, 43), (20, 32), (21, 23), (22, 33), (24, 37), (25, 38), (30, 34), (35, 40), (41, 45), (44, 47)]",27342.904426865083
"[(131, 64), (53, 144), (85, 81), (78, 67), (144, 63), (136, 144), (119, 61), (125, 104), (54, 53), (61, 77), (79, 114), (127, 53), (121, 75), (141, 133), (139, 119), (103, 78), (107, 125), (85, 50), (147, 70), (139, 104), (93, 85), (69, 77), (147, 93), (63, 61), (98, 62), (95, 94), (127, 83), (55, 143), (108, 118), (65, 98), (60, 120), (87, 130), (129, 96), (123, 74), (140, 58), (55, 134), (79, 148), (87, 60), (79, 62), (98, 85), (108, 131), (96, 70), (97, 95), (76, 135), (84, 139), (137, 132), (59, 127), (131, 71), (118, 143), (81, 70), (109, 98), (84, 131), (138, 121), (78, 137), (91, 148), (149, 57), (79, 54), (90, 101), (84, 58), (77, 122), (141, 90), (77, 133)]","[(0, 44), (1, 18), (2, 11), (3, 13), (4, 12), (5, 59), (6, 7), (8, 58), (9, 46), (10, 45), (14, 27), (15, 55), (16, 57), (17, 47), (19, 30), (20, 48), (21, 42), (22, 38), (23, 37), (24, 35), (25, 34), (26, 39), (28, 50), (29, 33), (31, 40), (32, 49), (36, 53), (41, 54), (43, 56), (51, 61), (52, 60)]",58795.192656343155
"[(131, 64), (53, 144), (85, 81), (78, 67), (144, 63), (136, 144), (119, 61), (125, 104), (54, 53), (61, 77), (79, 114), (127, 53), (121, 75), (141, 133), (139, 119), (103, 78), (107, 125), (85, 50), (147, 70), (139, 104), (93, 85), (69, 77), (147, 93), (63, 61), (98, 62), (95, 94), (127, 83), (55, 143), (108, 118), (65, 98), (60, 120), (87, 130), (129, 96), (123, 74), (140, 58), (55, 134), (79, 148), (87, 60), (79, 62), (98, 85), (108, 131), (96, 70), (97, 95), (76, 135)]","[(0, 30), (1, 39), (2, 9), (3, 7), (4, 24), (5, 21), (6, 28), (8, 17), (10, 41), (11, 36), (12, 16), (13, 23), (14, 29), (15, 27), (18, 31), (19, 42), (20, 37), (22, 34), (25, 43), (26, 33), (32, 38), (35, 40)]",21693.809812864096
"[(131, 64), (53, 144), (85, 81), (78, 67), (144, 63), (136, 144), (119, 61), (125, 104), (54, 53), (61, 77), (79, 114), (127, 53), (121, 75), (141, 133), (139, 119), (103, 78), (107, 125), (85, 50), (147, 70), (139, 104)]","[(0, 8), (1, 9), (2, 14), (3, 5), (4, 7), (6, 13), (10, 17), (11, 16), (12, 19), (15, 18)]",3759.0142984101385
"[(131, 64), (53, 144), (85, 81), (78, 67), (144, 63), (136, 144), (119, 61), (125, 104), (54, 53), (61, 77), (79, 114), (127, 53), (121, 75), (141, 133), (139, 119), (103, 78), (107, 125), (85, 50), (147, 70), (139, 104), (93, 85), (69, 77), (147, 93), (63, 61), (98, 62), (95, 94), (127, 83), (55, 143)]","[(0, 18), (1, 8), (2, 5), (3, 27), (4, 6), (7, 24), (9, 21), (10, 15), (11, 26), (12, 20), (13, 17), (14, 25), (16, 23), (19, 22)]",10061.57673945363
"[(131, 64), (53, 144), (85, 81), (78, 67), (144, 63), (136, 144), (119, 61), (125, 104), (54, 53), (61, 77), (79, 114), (127, 53), (121, 75), (141, 133), (139, 119), (103, 78), (107, 125), (85, 50), (147, 70), (139, 104), (93, 85), (69, 77), (147, 93), (63, 61), (98, 62), (95, 94), (127, 83), (55, 143), (108, 118), (65, 98), (60, 120), (87, 130), (129, 96), (123, 74), (140, 58), (55, 134), (79, 148), (87, 60)]","[(0, 37), (1, 6), (2, 17), (3, 4), (5, 32), (7, 13), (8, 20), (9, 29), (10, 15), (11, 21), (12, 18), (14, 16), (19, 36), (22, 24), (23, 28), (25, 34), (26, 27), (30, 33), (31, 35)]",17460.615071074964
"[(131, 64), (53, 144), (85, 81), (78, 67), (144, 63), (136, 144), (119, 61), (125, 104), (54, 53), (61, 77), (79, 114), (127, 53), (121, 75), (141, 133), (139, 119), (103, 78), (107, 125), (85, 50), (147, 70), (139, 104), (93, 85), (69, 77), (147, 93), (63, 61), (98, 62), (95, 94), (127, 83), (55, 143), (108, 118), (65, 98), (60, 120), (87, 130), (129, 96), (123, 74), (140, 58), (55, 134), (79, 148), (87, 60), (79, 62), (98, 85)]","[(0, 1), (2, 11), (3, 27), (4, 7), (5, 35), (6, 9), (8, 29), (10, 20), (12, 21), (13, 15), (14, 33), (16, 30), (17, 31), (18, 28), (19, 38), (22, 36), (23, 25), (24, 32), (26, 37), (34, 39)]",18976.679010590215
"[(131, 64), (53, 144), (85, 81), (78, 67), (144, 63), (136, 144), (119, 61), (125, 104), (54, 53), (61, 77), (79, 114), (127, 53), (121, 75), (141, 133), (139, 119), (103, 78), (107, 125), (85, 50), (147, 70), (139, 104), (93, 85), (69, 77), (147, 93), (63, 61), (98, 62), (95, 94), (127, 83), (55, 143), (108, 118), (65, 98), (60, 120), (87, 130), (129, 96), (123, 74), (140, 58), (55, 134), (79, 148), (87, 60), (79, 62), (98, 85), (108, 131), (96, 70), (97, 95), (76, 135), (84, 139), (137, 132), (59, 127), (131, 71), (118, 143), (81, 70), (109, 98), (84, 131), (138, 121), (78, 137), (91, 148), (149, 57), (79, 54), (90, 101), (84, 58), (77, 122), (141, 90), (77, 133), (113, 100), (132, 108)]","[(0, 48), (1, 13), (2, 28), (3, 57), (4, 17), (5, 46), (6, 58), (7, 59), (8, 15), (9, 51), (10, 33), (11, 39), (12, 42), (14, 45), (16, 35), (18, 38), (19, 41), (20, 53), (21, 63), (22, 55), (23, 24), (25, 56), (26, 34), (27, 60), (29, 43), (30, 52), (31, 49), (32, 50), (36, 44), (37, 54), (40, 61), (47, 62)]",54737.493424650005
"[(131, 64), (53, 144), (85, 81), (78, 67), (144, 63), (136, 144), (119, 61), (125, 104), (54, 53), (61, 77), (79, 114), (127, 53), (121, 75), (141, 133), (139, 119), (103, 78), (107, 125), (85, 50), (147, 70), (139, 104), (93, 85), (69, 77), (147, 93), (63, 61), (98, 62), (95, 94), (127, 83), (55, 143), (108, 118), (65, 98), (60, 120), (87, 130), (129, 96), (123, 74), (140, 58), (55, 134), (79, 148), (87, 60)]","[(0, 22), (1, 27), (2, 18), (3, 14), (4, 17), (5, 25), (6, 23), (7, 21), (8, 16), (9, 36), (10, 29), (11, 35), (12, 26), (13, 20), (15, 32), (19, 24), (28, 37), (30, 31), (33, 34)]",18311.204488102485
"[(131, 64), (53, 144), (85, 81), (78, 67), (144, 63), (136, 144), (119, 61), (125, 104), (54, 53), (61, 77), (79, 114), (127, 53), (121, 75), (141, 133), (139, 119), (103, 78), (107, 125), (85, 50), (147, 70), (139, 104), (93, 85), (69, 77)]","[(0, 7), (1, 16), (2, 6), (3, 9), (4, 21), (5, 17), (8, 18), (10, 12), (11, 14), (13, 20), (15, 19)]",7145.405732644051
"[(131, 64), (53, 144), (85, 81), (78, 67), (144, 63), (136, 144), (119, 61), (125, 104), (54, 53), (61, 77), (79, 114), (127, 53), (121, 75), (141, 133), (139, 119), (103, 78), (107, 125), (85, 50), (147, 70), (139, 104), (93, 85), (69, 77), (147, 93), (63, 61), (98, 62), (95, 94), (127, 83), (55, 143), (108, 118), (65, 98), (60, 120), (87, 130), (129, 96), (123, 74), (140, 58), (55, 134), (79, 148), (87, 60), (79, 62), (98, 85), (108, 131), (96, 70), (97, 95), (76, 135), (84, 139), (137, 132)]","[(0, 28), (1, 40), (2, 21), (3, 22), (4, 18), (5, 12), (6, 27), (7, 45), (8, 15), (9, 33), (10, 16), (11, 43), (13, 25), (14, 42), (17, 36), (19, 29), (20, 38), (23, 41), (24, 34), (26, 30), (31, 35), (32, 39), (37, 44)]",30717.556250704736
"[(131, 64), (53, 144), (85, 81), (78, 67), (144, 63), (136, 144), (119, 61), (125, 104), (54, 53), (61, 77), (79, 114), (127, 53), (121, 75), (141, 133), (139, 119), (103, 78), (107, 125), (85, 50), (147, 70), (139, 104), (93, 85), (69, 77), (147, 93), (63, 61), (98, 62), (95, 94), (127, 83), (55, 143), (108, 118), (65, 98), (60, 120), (87, 130), (129, 96), (123, 74), (140, 58), (55, 134), (79, 148), (87, 60), (79, 62), (98, 85), (108, 131), (96, 70), (97, 95), (76, 135), (84, 139), (137, 132)]","[(0, 34), (1, 20), (2, 29), (3, 32), (4, 11), (5, 38), (6, 7), (8, 10), (9, 41), (12, 21), (13, 40), (14, 27), (15, 33), (16, 26), (17, 24), (18, 42), (19, 28), (22, 36), (23, 31), (25, 43), (30, 35), (37, 45), (39, 44)]",30596.66787776952
"[(131, 64), (53, 144), (85, 81), (78, 67), (144, 63), (136, 144), (119, 61), (125, 104), (54, 53), (61, 77), (79, 114), (127, 53), (121, 75), (141, 133), (139, 119), (103, 78), (107, 125), (85, 50), (147, 70), (139, 104), (93, 85), (69, 77), (147, 93), (63, 61), (98, 62), (95, 94), (127, 83), (55, 143), (108, 118), (65, 98), (60, 120), (87, 130), (129, 96), (123, 74), (140, 58), (55, 134), (79, 148), (87, 60)]","[(0, 24), (1, 2), (3, 4), (5, 12), (6, 33), (7, 35), (8, 11), (9, 36), (10, 32), (13, 26), (14, 29), (15, 27), (16, 34), (17, 37), (18, 28), (19, 21), (20, 22), (23, 31), (25, 30)]",16790.039911574222
"[(131, 64), (53, 144), (85, 81), (78, 67), (144, 63), (136, 144), (119, 61), (125, 104), (54, 53), (61, 77), (79, 114), (127, 53), (121, 75), (141, 133), (139, 119), (103, 78), (107, 125), (85, 50), (147, 70), (139, 104), (93, 85), (69, 77), (147, 93), (63, 61), (98, 62), (95, 94), (127, 83), (55, 143), (108, 118), (65, 98), (60, 120), (87, 130), (129, 96), (123, 74), (140, 58), (55, 134), (79, 148), (87, 60), (79, 62), (98, 85), (108, 131), (96, 70)]","[(0, 21), (1, 16), (2, 30), (3, 11), (4, 24), (5, 35), (6, 9), (7, 17), (8, 37), (10, 41), (12, 32), (13, 20), (14, 34), (15, 39), (18, 40), (19, 27), (22, 23), (25, 26), (28, 38), (29, 31), (33, 36)]",23367.636363710124
"[(131, 64), (53, 144), (85, 81), (78, 67), (144, 63), (136, 144), (119, 61), (125, 104), (54, 53), (61, 77), (79, 114), (127, 53), (121, 75), (141, 133), (139, 119), (103, 78), (107, 125), (85, 50), (147, 70), (139, 104), (93, 85), (69, 77), (147, 93), (63, 61), (98, 62), (95, 94), (127, 83), (55, 143), (108, 118), (65, 98), (60, 120), (87, 130), (129, 96), (123, 74)]","[(0, 33), (1, 4), (2, 8), (3, 7), (5, 25), (6, 22), (9, 18), (10, 19), (11, 26), (12, 29), (13, 23), (14, 20), (15, 32), (16, 17), (21, 31), (24, 30), (27, 28)]",14681.3119227303
"[(131, 64), (53, 144), (85, 81), (78, 67), (144, 63), (136, 144), (119, 61), (125, 104), (54, 53), (61, 77), (79, 114), (127, 53), (121, 75), (141, 133), (139, 119), (103, 78), (107, 125), (85, 50), (147, 70), (139, 104), (93, 85), (69, 77), (147, 93), (63, 61), (98, 62), (95, 94), (127, 83), (55, 143), (108, 118), (65, 98), (60, 120), (87, 130), (129, 96), (123, 74), (140, 58), (55, 134), (79, 148), (87, 60), (79, 62), (98, 85), (108, 131), (96, 70), (97, 95), (76, 135), (84, 139), (137, 132), (59, 127), (131, 71), (118, 143), (81, 70)]","[(0, 48), (1, 8), (2, 37), (3, 15), (4, 33), (5, 7), (6, 14), (9, 38), (10, 29), (11, 46), (12, 21), (13, 41), (16, 28), (17, 23), (18, 36), (19, 35), (20, 49), (22, 31), (24, 44), (25, 30), (26, 32), (27, 34), (39, 40), (42, 43), (45, 47)]",30973.607343638887
"[(131, 64), (53, 144), (85, 81), (78, 67), (144, 63), (136, 144), (119, 61), (125, 104), (54, 53), (61, 77), (79, 114), (127, 53), (121, 75), (141, 133), (139, 119), (103, 78), (107, 125), (85, 50), (147, 70), (139, 104), (93, 85), (69, 77), (147, 93), (63, 61), (98, 62), (95, 94), (127, 83), (55, 143), (108, 118), (65, 98), (60, 120), (87, 130), (129, 96), (123, 74), (140, 58), (55, 134), (79, 148), (87, 60), (79, 62), (98, 85), (108, 131), (96, 70), (97, 95), (76, 135), (84, 139), (137, 132), (59, 127), (131, 71), (118, 143), (81, 70)]","[(0, 43), (1, 5), (2, 36), (3, 4), (6, 31), (7, 49), (8, 9), (10, 44), (11, 40), (12, 33), (13, 32), (14, 22), (15, 39), (16, 37), (17, 42), (18, 46), (19, 27), (20, 30), (21, 48), (23, 38), (24, 28), (25, 34), (26, 41), (29, 45), (35, 47)]",29401.69176379265
"[(131, 64), (53, 144), (85, 81), (78, 67), (144, 63), (136, 144), (119, 61), (125, 104), (54, 53), (61, 77), (79, 114), (127, 53), (121, 75), (141, 133), (139, 119), (103, 78), (107, 125), (85, 50), (147, 70), (139, 104), (93, 85), (69, 77), (147, 93), (63, 61), (98, 62), (95, 94), (127, 83), (55, 143), (108, 118), (65, 98), (60, 120), (87, 130), (129, 96), (123, 74), (140, 58), (55, 134), (79, 148), (87, 60), (79, 62), (98, 85), (108, 131), (96, 70), (97, 95), (76, 135), (84, 139), (137, 132), (59, 127), (131, 71), (118, 143), (81, 70), (109, 98), (84, 131), (138, 121), (78, 137), (91, 148), (149, 57), (79, 54), (90, 101), (84, 58), (77, 122), (141, 90), (77, 133), (113, 100), (132, 108), (68, 83), (67, 81)]","[(0, 52), (1, 59), (2, 9), (3, 63), (4, 41), (5, 22), (6, 34), (7, 37), (8, 12), (10, 25), (11, 61), (13, 40), (14, 33), (15, 17), (16, 29), (18, 53), (19, 51), (20, 31), (21, 46), (23, 62), (24, 32), (26, 54), (27, 64), (28, 48), (30, 38), (35, 44), (36, 55), (39, 56), (42, 58), (43, 65), (45, 57), (47, 50), (49, 60)]",51307.065633357546
"[(131, 64), (53, 144), (85, 81), (78, 67), (144, 63), (136, 144), (119, 61), (125, 104), (54, 53), (61, 77), (79, 114), (127, 53), (121, 75), (141, 133), (139, 119), (103, 78), (107, 125), (85, 50), (147, 70), (139, 104), (93, 85), (69, 77), (147, 93), (63, 61), (98, 62), (95, 94), (127, 83), (55, 143), (108, 118), (65, 98), (60, 120), (87, 130), (129, 96), (123, 74), (140, 58), (55, 134), (79, 148), (87, 60), (79, 62), (98, 85), (108, 131), (96, 70), (97, 95), (76, 135), (84, 139), (137, 132), (59, 127), (131, 71), (118, 143), (81, 70), (109, 98), (84, 131), (138, 121), (78, 137), (91, 148), (149, 57), (79, 54), (90, 101)]","[(0, 57), (1, 25), (2, 3), (4, 54), (5, 22), (6, 55), (7, 8), (9, 20), (10, 33), (11, 18), (12, 16), (13, 29), (14, 49), (15, 30), (17, 48), (19, 56), (21, 53), (23, 42), (24, 45), (26, 35), (27, 40), (28, 34), (31, 47), (32, 41), (36, 51), (37, 50), (38, 44), (39, 46), (43, 52)]",46852.8402523602
"[(131, 64), (53, 144), (85, 81), (78, 67), (144, 63), (136, 144), (119, 61), (125, 104), (54, 53), (61, 77), (79, 114), (127, 53), (121, 75), (141, 133), (139, 119), (103, 78), (107, 125), (85, 50), (147, 70), (139, 104), (93, 85), (69, 77), (147, 93), (63, 61), (98, 62), (95, 94), (127, 83), (55, 143), (108, 118), (65, 98), (60, 120), (87, 130), (129, 96), (123, 74), (140, 58), (55, 134)]","[(0, 18), (1, 25), (2, 30), (3, 20), (4, 14), (5, 33), (6, 16), (7, 27), (8, 31), (9, 10), (11, 13), (12, 32), (15, 29), (17, 34), (19, 22), (21, 23), (24, 26), (28, 35)]",15811.94950902782
"[(131, 64), (53, 144), (85, 81), (78, 67), (144, 63), (136, 144), (119, 61), (125, 104), (54, 53), (61, 77), (79, 114), (127, 53), (121, 75), (141, 133), (139, 119), (103, 78), (107, 125), (85, 50), (147, 70), (139, 104), (93, 85), (69, 77), (147, 93), (63, 61), (98, 62), (95, 94), (127, 83), (55, 143), (108, 118), (65, 98), (60, 120), (87, 130), (129, 96), (123, 74), (140, 58), (55, 134), (79, 148), (87, 60), (79, 62), (98, 85), (108, 131), (96, 70), (97, 95), (76, 135)]","[(0, 32), (1, 34), (2, 37), (3, 35), (4, 28), (5, 18), (6, 29), (7, 27), (8, 14), (9, 20), (10, 43), (11, 26), (12, 39), (13, 22), (15, 36), (16, 17), (19, 30), (21, 23), (24, 31), (25, 41), (33, 40), (38, 42)]",20630.129397040404
"[(131, 64), (53, 144), (85, 81), (78, 67), (144, 63), (136, 144), (119, 61), (125, 104), (54, 53), (61, 77), (79, 114), (127, 53), (121, 75), (141, 133), (139, 119), (103, 78), (107, 125), (85, 50), (147, 70), (139, 104), (93, 85), (69, 77), (147, 93), (63, 61), (98, 62), (95, 94), (127, 83), (55, 143), (108, 118), (65, 98), (60, 120), (87, 130), (129, 96), (123, 74), (140, 58), (55, 134), (79, 148), (87, 60), (79, 62), (98, 85), (108, 131), (96, 70), (97, 95), (76, 135), (84, 139), (137, 132), (59, 127), (131, 71), (118, 143), (81, 70), (109, 98), (84, 131), (138, 121), (78, 137), (91, 148), (149, 57), (79, 54), (90, 101), (84, 58), (77, 122), (141, 90), (77, 133), (113, 100), (132, 108), (68, 83), (67, 81)]","[(0, 26), (1, 36), (2, 11), (3, 65), (4, 43), (5, 13), (6, 51), (7, 62), (8, 25), (9, 21), (10, 29), (12, 38), (14, 54), (15, 30), (16, 52), (17, 37), (18, 22), (19, 41), (20, 48), (23, 53), (24, 58), (27, 50), (28, 33), (31, 56), (32, 34), (35, 44), (39, 60), (40, 59), (42, 45), (46, 55), (47, 49), (57, 61), (63, 64)]",59549.373879222825
